user_id,product,day,payment_on_time_rate,avg_utilization,fico_proxy,defaulted,balance,cash,net_worth_proxy
1390,Daily-Pay Credit Builder,180,0.0,0.9314990025697953,388.2201196916246,1,1157.6663007206766,0.0,-1157.6663007206766
1390,Daily-Pay Credit Builder,270,0.0,0.9768207643058577,382.78150828329706,1,1192.4265483365382,0.0,-1192.4265483365382
1390,Daily-Pay Credit Builder,365,0.0,1.0089916346879375,378.92100383744753,1,1230.2508489944296,48.93329035993965,-1181.3175586344898
1391,Daily-Pay Credit Builder,30,0.0,0.6408014132469292,423.10383041036846,1,1589.658796867044,0.0,-1589.658796867044
1391,Daily-Pay Credit Builder,90,0.0,0.8889906328151876,393.3211240621775,1,1621.3225182909468,0.0,-1621.3225182909468
1391,Daily-Pay Credit Builder,180,0.0,0.9636917053108323,384.3569953627001,1,1670.0045712848728,0.0,-1670.0045712848728
1391,Daily-Pay Credit Builder,270,0.0,0.9989850376118219,380.1217954865814,1,1720.1483582996168,0.0,-1720.1483582996168
1391,Daily-Pay Credit Builder,365,0.0,1.0259525659802013,376.88569208237584,1,1774.7122295680567,29.015725415281324,-1745.6965041527753
1392,Daily-Pay Credit Builder,30,0.0,0.6530436213803509,421.63476543435786,1,1052.5971143046047,0.0,-1052.5971143046047
1392,Daily-Pay Credit Builder,90,0.0,0.8937377261297246,392.751472864433,1,1073.5633379147473,0.0,-1073.5633379147473
1392,Daily-Pay Credit Builder,180,0.0,0.9665775044525738,384.0106994656911,1,1105.798298398608,0.0,-1105.798298398608
1392,Daily-Pay Credit Builder,270,0.0,1.0012606593383473,379.84872087939834,1,1139.0011502408067,0.0,-1139.0011502408067
1392,Daily-Pay Credit Builder,365,0.0,1.0279190418026252,376.649714983685,1,1175.130773500615,23.86693012588691,-1151.2638433747281
1393,Daily-Pay Credit Builder,30,0.0,0.4355479578652917,447.73424505616504,1,1451.3711754145838,0.0,-1451.3711754145838
1393,Daily-Pay Credit Builder,90,0.0,0.8185776807386396,401.77067831136327,1,1491.943499055817,0.0,-1491.943499055817
1393,Daily-Pay Credit Builder,180,0.0,0.9269514992487896,388.7658200901452,1,1536.7407998183694,0.0,-1536.7407998183694
1393,Daily-Pay Credit Builder,270,0.0,0.9734383788954791,383.1873945325425,1,1582.8831904967813,0.0,-1582.8831904967813
1393,Daily-Pay Credit Builder,365,0.0,1.0062072933686237,379.25512479576514,1,1633.092949569317,57.36190775072555,-1575.7310418185914
1394,Daily-Pay Credit Builder,30,0.0,0.5250770180685527,436.99075783177364,1,1647.1699845719197,0.0,-1647.1699845719197
1394,Daily-Pay Credit Builder,90,0.0,0.8497501339495064,398.02998392605923,1,1679.9792463028573,0.0,-1679.9792463028573
1394,Daily-Pay Credit Builder,180,0.0,0.9435597082968185,386.7728350043818,1,1730.4225342819955,0.0,-1730.4225342819955
1394,Daily-Pay Credit Builder,270,0.0,0.9852122973461784,381.7745243184586,1,1782.380439365926,0.0,-1782.380439365926
1394,Daily-Pay Credit Builder,365,0.0,1.015481651411381,378.1422018306343,1,1838.9183399346184,1.894316812774207,-1837.0240231218443
1395,Daily-Pay Credit Builder,30,0.0,0.3943702905053089,452.6755651393629,1,987.5887740561092,0.0,-987.5887740561092
1395,Daily-Pay Credit Builder,90,0.0,0.8050731817648756,403.3912181882149,1,1007.2601248420235,0.0,-1007.2601248420235
1395,Daily-Pay Credit Builder,180,0.0,0.920369440225101,389.5556671729879,1,1037.5042559282408,0.0,-1037.5042559282408
1395,Daily-Pay Credit Builder,270,0.0,0.9691672066299907,383.69993520440113,1,1068.6565014554076,0.0,-1068.6565014554076
1395,Daily-Pay Credit Builder,365,0.0,1.003141866078021,379.6229760706375,1,1102.5547611573977,9.201809799488572,-1093.3529513579092
1396,Daily-Pay Credit Builder,30,0.0,0.7309331558998874,412.28802129201347,1,1158.1505829864998,0.0,-1158.1505829864998
1396,Daily-Pay Credit Builder,90,0.0,0.9208129610626096,389.50244467248683,1,1181.2192801804438,0.0,-1181.2192801804438
1396,Daily-Pay Credit Builder,180,0.0,0.9809699994203609,382.2836000695567,1,1216.6867327979578,0.0,-1216.6867327979578
1396,Daily-Pay Credit Builder,270,0.0,1.0114426867640807,378.6268775883103,1,1253.2191360273373,0.0,-1253.2191360273373
1396,Daily-Pay Credit Builder,365,0.0,1.0359234720916688,375.68918334899973,1,1292.971804615142,25.437808218536844,-1267.533996396605
1397,Daily-Pay Credit Builder,30,0.0,0.4488164225079255,446.1420292990489,1,1298.436126256508,0.0,-1298.436126256508
1397,Daily-Pay Credit Builder,90,0.0,0.8236648911062093,401.16021306725486,1,1324.2991101053358,0.0,-1324.2991101053358
1397,Daily-Pay Credit Builder,180,0.0,0.9300058436996376,388.3992987560435,1,1364.0626973809356,0.0,-1364.0626973809356
1397,Daily-Pay Credit Builder,270,0.0,0.9758253250590861,382.90096099290963,1,1405.0202315987024,0.0,-1405.0202315987024
1397,Daily-Pay Credit Builder,365,0.0,1.0082552823684086,379.00936611579095,1,1449.588098478676,11.39848233698541,-1438.1896161416907
1398,Daily-Pay Credit Builder,30,0.0,0.7479622228377644,410.2445332594683,1,990.2100224338856,0.0,-990.2100224338856
1398,Daily-Pay Credit Builder,90,0.0,0.9258218633362038,388.90137639965553,1,1009.933584724923,0.0,-1009.933584724923
1398,Daily-Pay Credit Builder,180,0.0,0.982961355459942,382.044637344807,1,1040.2579894853968,0.0,-1040.2579894853968
1398,Daily-Pay Credit Builder,270,0.0,1.0124179232163375,378.5098492140395,1,1071.4929189952059,0.0,-1071.4929189952059
1398,Daily-Pay Credit Builder,365,0.0,1.0363612749350217,375.63664700779736,1,1105.481151123562,0.0,-1105.481151123562
1399,Daily-Pay Credit Builder,30,0.0,0.5656923166018107,432.1169220077827,1,1270.4937714457128,0.0,-1270.4937714457128
1399,Daily-Pay Credit Builder,90,0.0,0.863510394014066,396.37875271831206,1,1295.8001836954002,0.0,-1295.8001836954002
1399,Daily-Pay Credit Builder,180,0.0,0.9506103647865192,385.9267562256177,1,1334.7080582857652,0.0,-1334.7080582857652
1399,Daily-Pay Credit Builder,270,0.0,0.9900298328115072,381.19642006261915,1,1374.784186071483,0.0,-1374.784186071483
1399,Daily-Pay Credit Builder,365,0.0,1.0191395634999976,377.7032523800003,1,1418.3929521344517,50.975718623272094,-1367.4172335111796
1400,Daily-Pay Credit Builder,30,0.0,0.44121488904343986,447.05421331478726,1,1144.8984008938617,0.0,-1144.8984008938617
1400,Daily-Pay Credit Builder,90,0.0,0.8211310466180469,401.4642744058344,1,1167.703133642814,0.0,-1167.703133642814
1400,Daily-Pay Credit Builder,180,0.0,0.9287389214555553,388.5513294253334,1,1202.7647485848518,0.0,-1202.7647485848518
1400,Daily-Pay Credit Builder,270,0.0,0.9749807102296973,383.0023147724363,1,1238.8791284008785,0.0,-1238.8791284008785
1400,Daily-Pay Credit Builder,365,0.0,1.0076304987959837,379.084340144482,1,1278.176925566492,10.119461461446555,-1268.0574641050455
1401,Daily-Pay Credit Builder,30,0.0,0.6383174604310536,423.4019047482735,1,1142.858041443785,0.0,-1142.858041443785
1401,Daily-Pay Credit Builder,90,0.0,0.8886068137058195,393.3671823553017,1,1165.6221331612408,0.0,-1165.6221331612408
1401,Daily-Pay Credit Builder,180,0.0,0.9638412412813567,384.33905104623716,1,1200.6212636965172,0.0,-1200.6212636965172
1401,Daily-Pay Credit Builder,270,0.0,0.9993191934691877,380.08169678369745,1,1236.6712829403875,0.0,-1236.6712829403875
1401,Daily-Pay Credit Builder,365,0.0,1.0263884782080832,376.83338261503,1,1275.8990462656604,0.0,-1275.8990462656604
